#{"t_start": 1672838831.0494676, "env_id": null}
r,l,t
2938.0,865,13842.186403
2191.0,700,14105.288358
2612.0,771,14109.188795
2246.0,637,14112.948686
1696.0,3026,14114.862139
2313.0,2761,14115.762352
1378.0,550,14118.774427
2407.0,1043,14121.353786
1935.0,648,14122.601081
1749.0,592,14122.922157
2692.0,785,14386.58365
2266.0,693,14387.26081
1464.0,555,14387.401846
2443.0,721,14388.813179
1334.0,484,14391.781882
1596.0,532,14393.078189
2024.0,607,14395.451751
2574.0,744,14395.470756
1759.0,559,14397.794306
1359.0,516,14398.518478
1863.0,578,14401.781755
1683.0,595,14401.954796
1927.0,598,14405.028524
1979.0,679,14405.14055
1816.0,555,14666.71295
1813.0,588,14667.220071
2220.0,633,14671.59803
2611.0,714,14672.64728
2686.0,707,14675.169877
2313.0,679,14675.375926
1602.0,580,14677.88652
1728.0,611,14679.186828
1380.0,574,14681.334337
2265.0,658,14682.518618
2601.0,714,14685.634356
2361.0,702,14686.840641
1966.0,591,14687.658836
1949.0,602,14951.404218
1374.0,538,14951.923341
2981.0,739,14955.102094
2071.0,630,14958.24884
1925.0,684,14959.320622
1478.0,581,14964.596873
2291.0,2747,15230.839052
1728.0,536,15236.840473
1590.0,595,15243.496051
1733.0,568,15249.700521
3770.0,2966,15251.407925
2830.0,2826,15515.24672
1469.0,533,15515.731835
1465.0,544,15517.488251
1898.0,592,15521.524207
1971.0,606,15522.206369
2549.0,715,15525.224084
1467.0,529,15527.919723
4172.0,5267,15532.108716
959.0,415,15532.520813
2147.0,679,15532.577827
1694.0,573,15798.69007
1752.0,611,15798.711074
3294.0,830,15807.664196
2443.0,2762,15811.504106
1961.0,592,15814.152733
1341.0,484,16076.129725
1930.0,600,16080.059655
2319.0,2760,16081.828074
1896.0,611,16082.794303
1727.0,563,16086.225116
1374.0,545,16087.878507
2620.0,2821,16088.779721
2922.0,766,16091.189292
1749.0,609,16095.541323
1400.0,556,16097.34675
2527.0,893,16097.601811
1559.0,1251,16359.06365
